"","diameter","albedo","a","q","n","per","moid","t_jup","sigma_a","class_var"
"70",117.727,0.045,2.85359719036533,2.25235168854899,0.204463161049488,1760.7083748102,1.27209,3.258,9.5575e-09,"C"
"73",79.16,0.0527,2.36248979092157,1.80531150122715,0.271424572957524,1326.33532799677,0.797648,3.495,3.5762e-09,"C"
"77",115.974,0.058,3.14987489033224,2.62675465672687,0.176304792242375,2041.91840403913,1.61312,3.185,1.0724e-08,"C"
"80",154.155,0.056,2.75611850089253,2.37279244002976,0.215405726312183,1671.26476237804,1.3753,3.313,8.4846e-09,"C"
"81",204.89,0.0395,3.15653853991105,2.85999822127235,0.175746801383977,2048.4014341374,1.88276,3.184,1.3928e-08,"C"
"82",147.969,0.058,3.06532679351608,2.59759707214476,0.18364914125373,1960.25964261179,1.61219,3.176,1.0869e-08,"C"
"84",132.788,0.029,2.68776036260273,2.18580937061979,0.223675417412399,1609.47503379978,1.20184,3.296,8.7868e-09,"C"
"88",82.595,0.051,2.66234377415708,1.99134650103925,0.226886091954143,1586.69928552853,0.989341,3.333,7.564e-09,"C"
"90",136.553,0.052,3.1450163273037,2.64001414008773,0.176713495375341,2037.19585329551,1.6552,3.187,1.2949e-08,"C"
"91",112.326,0.016,2.37391736179462,1.95283546629874,0.269467056772154,1335.97035686776,1.01144,3.429,4.8726e-09,"C"
"95",82.588,0.056,2.69607371211612,1.89024723380236,0.222641659837602,1616.94806022641,0.915348,3.291,7.2907e-09,"C"
"97",126.344,0.062,2.59321439361963,2.32687345568169,0.236018713447312,1525.30278104564,1.34401,3.406,7.6493e-09,"C"
"106",155.132,0.058,3.11951283661498,2.95658812040782,0.178884992994339,2012.46618832577,1.95778,3.203,1.3962e-08,"C"
"107",209,0.0482,3.4518389741744,2.99661968567845,0.153683867774307,2342.470977687,2.00636,3.108,1.3056e-08,"C"
"112",162.515,0.067,2.74988520286593,2.39953172489442,0.216138547095484,1665.59831569962,1.40859,3.326,9.4152e-09,"C"
"113",180.652,0.086,3.12518492826967,2.47273826307504,0.178398209857769,2017.95746878299,1.54137,3.063,1.3071e-08,"C"
"122",54.812,0.047,2.41890060842354,2.09182775978448,0.26198536908971,1374.12253688383,1.08429,3.501,7.9886e-09,"B"
"124",142.38,0.0597,2.655049608078,2.03242968753231,0.227821713435691,1580.1830061366,1.03742,3.344,9.7593e-09,"C"
"125",127.783,0.061,2.67452059756089,2.28894690319346,0.225338372605567,1597.59740801069,1.32302,3.33,8.5008e-09,"C"
"126",160.31,0.036,2.71807899425307,2.53524040688684,0.219943414262132,1636.78463030017,1.53188,3.319,8.7559e-09,"C"
"129",119.128,0.052,2.9832008693695,2.61577106458298,0.191284741561972,1882.01106403131,1.61167,3.246,1.1343e-08,"C"
"133",192.611,0.044,3.19632108567229,2.95017444387826,0.172475921604058,2087.24787003272,1.952,3.087,1.9256e-08,"C"
"134",143.346,0.03,2.72709798383952,2.10746930637424,0.218853229905463,1644.9380260712,1.10239,3.298,9.3404e-09,"C"
"136",125.236,0.064,3.1026885868882,2.77064468083686,0.180341962607024,1996.20762021128,1.78927,3.204,1.495e-08,"C"
"137",81.24,0.0625,2.72773358851287,2.54504316120148,0.218776740013296,1645.51313808827,1.55919,3.349,9.5351e-09,"C"
"139",97.021,0.051,3.01677181701559,2.47143425116266,0.188100686514792,1913.86861297654,1.48985,3.214,1.0892e-08,"C"
"140",69.389,0.027,2.36733624896469,1.91420461165945,0.27059150098308,1330.41872598397,0.936616,3.517,5.4815e-09,"C"
"145",145.366,0.056,3.37231178473884,3.1239912079134,0.159152144017504,2261.98649237428,2.12595,3.143,1.7886e-08,"C"
"148",130.808,0.076,3.12891885761052,2.7149418151645,0.178078964983436,2021.57509188963,1.72612,3.199,1.144e-08,"C"
"149",62.43,0.1382,2.3800182269634,2.10854140773081,0.268431605754361,1341.12374356331,1.09701,3.51,6.6095e-09,"L"
"152",94.532,0.094,3.18276924186138,2.44097829468555,0.173578665566545,2073.98759994492,1.43308,3.154,1.135e-08,"C"
"162",160.464,0.062,2.73750663756772,2.38422057050774,0.217606218808967,1654.36448448212,1.41717,3.223,7.748e-09,"C"
"164",147.294,0.044,2.72689408694759,2.06816660767655,0.218877776693542,1644.75354893635,1.06396,3.289,8.6752e-09,"C"
"170",161.667,0.057,2.61539483771265,1.99208496372459,0.233022673470948,1544.91404049951,0.985887,3.295,6.2718e-09,"C"
"171",93.109,0.051,2.87785369812586,2.75229712598631,0.201883584008558,1783.20590932614,1.77542,3.283,1.1807e-08,"C"
"176",128.301,0.053,2.74022963995327,2.37881365352335,0.217281942141255,1656.83349684883,1.40089,3.327,9.9713e-09,"C"
"182",86.65,0.0436,2.72206261303648,2.38552088094079,0.219460774696128,1640.38425772655,1.39508,3.341,9.8214e-09,"C"
"183",141.125,0.062,3.04084869036043,2.55208920607364,0.185871095222893,1936.82616206837,1.56738,3.217,1.1681e-08,"C"
"191",99.672,0.094,2.66001042815929,2.3967852398991,0.227184692194314,1584.61380704334,1.39984,3.366,7.1407e-09,"K"
"195",155.659,0.039,2.90701089005149,2.64659933670023,0.198853887587669,1810.3744632163,1.65788,3.244,1.0994e-08,"C"
"196",87.928,0.057,2.66376929315657,2.11084938314156,0.226703988818896,1587.97382382005,1.12324,3.352,7.74e-09,"C"
"201",50.891,0.193,2.69379138701847,2.39790295040927,0.222924670763939,1614.89528622525,1.44368,3.309,9.0293e-09,"A"
"217",52.95,0.0602,2.35823527673498,1.83444159294355,0.272159423539436,1322.75412446939,0.832825,3.506,6.0967e-09,"C"
"218",94.3,0.0508,3.19558406763638,3.10539594840251,0.172535593885327,2086.52598512089,2.10386,3.119,1.7959e-08,"C"
"232",74.92,0.0447,3.02922184058803,2.73449039490831,0.186942245398837,1925.72844747825,1.73091,3.228,1.4363e-08,"C"
"239",60.903,0.038,2.56815379656073,2.23609945947359,0.239481809719655,1503.24569712175,1.25972,3.408,8.2646e-09,"C"
"240",96.865,0.037,2.32558344479348,2.18341353923627,0.277911285556453,1295.37740534424,1.21067,3.553,4.9621e-09,"C"
"247",90.116,0.05,2.87674583299774,2.43683168053763,0.202000216478561,1782.17630790612,1.45296,3.276,1.0784e-08,"C"
"249",129.125,0.043,3.00769919743743,2.47836043355846,0.188952426746402,1905.24147373436,1.52122,3.196,1.2952e-08,"C"
"250",86.773,0.05,2.80157763988356,2.36094337799203,0.210184206788619,1712.78330327668,1.37923,3.271,1.0396e-08,"C"
"258",84.787,0.046,3.14338215596782,2.5762731807105,0.17685131714362,2035.60824886391,1.56993,3.184,1.3618e-08,"C"
