"","X.1","X","H","diameter","albedo","rot_per","diameter_sigma","epoch","e","a","q","i","om","w","ma","ad","n","tp","per","moid","moid_jup","t_jup","sigma_e","sigma_a","sigma_q","sigma_i","sigma_om","sigma_w","sigma_ma","sigma_ad","sigma_n","sigma_tp","sigma_per","rms","neo_flag","pha_flag","class_var"
"80",80,92,7.9,154.155,0.056,5.982,1.298,2458600.5,0.139081850340845,2.75611850089253,2.37279244002976,8.55691987568554,4.04980052237084,274.811213990923,117.134831103407,3.13944456175531,0.215405726312183,2458056.71301203,1671.26476237804,1.3753,2.06494,3.313,3.6055e-08,8.4846e-09,1.0135e-07,4.1477e-06,2.4219e-05,2.8726e-05,1.5303e-05,9.6646e-09,9.9468e-10,7.0257e-05,7.7174e-06,0.49515,0,0,"C"
"81",81,93,7.57,204.89,0.0395,7.22,3.6,2458600.5,0.0939447799826513,3.15653853991105,2.85999822127235,7.97075552931781,2.57473295618971,60.4684134214988,308.863627958948,3.45307885854976,0.175746801383977,2458891.46616063,2048.4014341374,1.88276,1.8752,3.184,3.0376e-08,1.3928e-08,9.9961e-08,3.6309e-06,2.719e-05,3.5376e-05,2.3547e-05,1.5236e-08,1.1632e-09,0.0001348,1.3557e-05,0.43497,0,0,"C"
"82",82,94,8,147.969,0.058,8.705,5.148,2458600.5,0.152587228989965,3.06532679351608,2.59759707214476,12.995366969344,243.026584155939,153.928283914976,74.0727469942779,3.53305651488739,0.18364914125373,2458197.16162069,1960.25964261179,1.61219,1.89126,3.176,4.1627e-08,1.0869e-08,1.2988e-07,4.6417e-06,2.1677e-05,2.6826e-05,1.6349e-05,1.2528e-08,9.7679e-10,8.834e-05,1.0426e-05,0.47992,0,0,"C"
"84",84,97,8.84,132.788,0.029,16.479,1.132,2458600.5,0.186754369536454,2.68776036260273,2.18580937061979,15.5715187086934,353.920709405554,158.725454767364,125.61905170031,3.18971135458568,0.223675417412399,2458038.88686811,1609.47503379978,1.20184,1.81081,3.296,3.116e-08,8.7868e-09,8.2442e-08,3.1919e-06,1.6147e-05,2.0574e-05,1.3048e-05,1.0428e-08,1.0969e-09,5.7316e-05,7.8925e-06,0.46386,0,0,"C"
"88",88,101,9.26,82.595,0.051,23.613,0.4,2458600.5,0.252032543517138,2.66234377415708,1.99134650103925,5.17679442337095,210.857765253747,147.056901147153,251.228915837828,3.3333410472749,0.226886091954143,2459079.90833757,1586.69928552853,0.989341,2.13768,3.333,3.1434e-08,7.564e-09,8.0874e-08,3.1858e-06,3.856e-05,3.9396e-05,1.0534e-05,9.4704e-09,9.6692e-10,4.8002e-05,6.762e-06,0.48184,0,0,"C"
"90",90,103,8.27,136.553,0.052,8.984,1.554,2458600.5,0.160572198888685,3.1450163273037,2.64001414008773,2.79004149173367,41.6743422073753,31.8356766322753,278.330843602985,3.65001851451967,0.176713495375341,2459062.65574098,2037.19585329551,1.6552,1.63612,3.187,4.1339e-08,1.2949e-08,1.322e-07,4.8423e-06,8.4689e-05,8.5732e-05,1.4395e-05,1.5028e-08,1.0913e-09,8.2754e-05,1.2581e-05,0.46601,0,0,"C"
"91",91,104,8.57,112.326,0.016,37.15506,0.375,2458600.5,0.177378497782901,2.37391736179462,1.95283546629874,21.4401553297977,188.257347080797,57.0303693410778,166.450192845068,2.7949992572905,0.269467056772154,2457982.79854573,1335.97035686776,1.01144,2.31303,3.429,3.0791e-08,4.8726e-09,7.3838e-08,4.3277e-06,1.1462e-05,1.6968e-05,1.3489e-05,5.7368e-09,8.2964e-10,4.9293e-05,4.1132e-06,0.46649,0,0,"C"
"95",95,108,8.75,82.588,0.056,13.191,0.616,2458600.5,0.298888889681461,2.69607371211612,1.89024723380236,7.84254179374157,2.80071052937267,57.451382249155,251.975452986616,3.50190019042989,0.222641659837602,2459085.69467153,1616.94806022641,0.915348,1.94475,3.291,4.1003e-08,7.2907e-09,1.1064e-07,5.3592e-06,3.2147e-05,3.3121e-05,8.6386e-06,9.4699e-09,9.031e-10,3.9701e-05,6.5588e-06,0.48409,0,0,"C"
"97",97,110,8.02,126.344,0.062,22.072,0.233,2458600.5,0.102706871669868,2.59321439361963,2.32687345568169,4.93157228352569,305.738535371532,166.397394558426,66.5919838022746,2.85955533155758,0.236018713447312,2458318.35294975,1525.30278104564,1.34401,2.22826,3.406,3.627e-08,7.6493e-09,9.5363e-08,3.9221e-06,3.9484e-05,4.3045e-05,1.8015e-05,8.435e-09,1.0443e-09,7.5938e-05,6.7489e-06,0.51509,0,0,"C"
"106",106,119,7.75,155.132,0.058,46.551,1.133,2458600.5,0.0522276152528829,3.11951283661498,2.95658812040782,6.96164408969685,341.173981737384,233.634705945387,234.317891989104,3.28243755282214,0.178884992994339,2459303.08609125,2012.46618832577,1.95778,1.72172,3.203,4.2706e-08,1.3962e-08,1.3044e-07,4.6935e-06,3.7668e-05,5.8422e-05,4.6528e-05,1.4692e-08,1.201e-09,0.00026138,1.3511e-05,0.50102,0,0,"C"
"107",107,120,7.31,209,0.0482,5.55128,4.7,2458600.5,0.131877324493338,3.4518389741744,2.99661968567845,7.59763009833949,73.1224822938885,297.951480262129,218.88724463814,3.90705826267035,0.153683867774307,2459518.70148338,2342.470977687,2.00636,1.60298,3.108,3.237e-08,1.3056e-08,1.1142e-07,3.2293e-06,2.4006e-05,2.7305e-05,1.4416e-05,1.4778e-08,8.7195e-10,9.6674e-05,1.329e-05,0.44022,0,0,"C"
"112",112,127,7.49,162.515,0.067,77.81,1.296,2458600.5,0.127406583229862,2.74988520286593,2.39953172489442,6.24544698402658,76.242015395548,303.742904777124,72.0011399686558,3.10023868083743,0.216138547095484,2458267.37506261,1665.59831569962,1.40859,2.36234,3.326,3.9789e-08,9.4152e-09,1.11e-07,4.36e-06,4.0016e-05,4.3322e-05,1.7307e-05,1.0615e-08,1.11e-09,7.9657e-05,8.5541e-06,0.49772,0,0,"C"
"113",113,129,7.12,180.652,0.086,5.225,2.698,2458600.5,0.208770578436094,3.12518492826967,2.47273826307504,22.7795198001176,145.015760924544,237.45248186553,305.903881475242,3.77763159346429,0.178398209857769,2458903.73240669,2017.95746878299,1.54137,1.90597,3.063,3.7189e-08,1.3071e-08,1.1521e-07,3.2423e-06,1.1238e-05,1.4867e-05,1.3414e-05,1.5799e-08,1.1192e-09,7.6526e-05,1.266e-05,0.41187,0,0,"C"
"122",122,141,10.27,54.812,0.047,9.764,0.277,2458600.5,0.135215497280073,2.41890060842354,2.09182775978448,2.23911999538943,291.220160561739,292.014859641648,42.9603793964967,2.7459734570626,0.26198536908971,2458436.51992911,1374.12253688383,1.08429,2.2407,3.501,3.745e-08,7.9886e-09,9.2643e-08,3.9544e-06,0.00010209,0.00010346,1.9056e-05,9.0688e-09,1.2978e-09,7.2422e-05,6.8072e-06,0.4706,0,0,"B"
"124",124,143,7.91,142.38,0.0597,13.819,2.6,2458600.5,0.234504062994289,2.655049608078,2.03242968753231,4.81438152405917,76.196470180655,294.61367191963,7.36511193805067,3.27766952862368,0.227821713435691,2458568.17159799,1580.1830061366,1.03742,2.19362,3.344,4.0481e-08,9.7593e-09,1.0727e-07,4.4001e-06,5.5844e-05,5.6617e-05,1.2335e-05,1.2048e-08,1.2561e-09,5.4036e-05,8.7125e-06,0.48861,0,0,"C"
"125",125,144,8.13,127.783,0.061,15.071,0.355,2458600.5,0.144165535580122,2.67452059756089,2.28894690319346,12.6356174029331,77.4104130159958,44.3621525822226,98.8585482222725,3.06009429192832,0.225338372605567,2458161.78844333,1597.59740801069,1.32302,2.12809,3.33,4.5982e-08,8.5008e-09,1.2286e-07,4.7928e-06,1.9871e-05,2.4513e-05,1.3761e-05,9.7263e-09,1.0743e-09,6.0697e-05,7.6168e-06,0.51288,0,0,"C"
"126",126,145,8.2,160.31,0.036,18.557,1.21,2458600.5,0.0672675767528495,2.71807899425307,2.53524040688684,13.1011319330972,83.9455926534465,146.003743934514,58.9777523456516,2.9009175816193,0.219943414262132,2458332.35033731,1636.78463030017,1.53188,2.14224,3.319,2.9463e-08,8.7559e-09,8.2332e-08,2.9014e-06,1.5821e-05,3.3305e-05,2.888e-05,9.3449e-09,1.0628e-09,0.00013143,7.909e-06,0.48001,0,0,"C"
"129",129,149,8.23,119.128,0.052,8.1347,1.869,2458600.5,0.123166297167301,2.9832008693695,2.61577106458298,2.20128298476613,206.145224012155,153.387271726142,327.327780100736,3.35063067415601,0.191284741561972,2458771.30410927,1882.01106403131,1.61167,2.09949,3.246,3.1542e-08,1.1343e-08,9.4402e-08,3.9298e-06,9.3832e-05,9.5477e-05,1.9522e-05,1.2741e-08,1.091e-09,0.00010256,1.0734e-05,0.4852,0,0,"C"
"133",133,153,7.58,192.611,0.044,25.224,2.189,2458600.5,0.0770093601976954,3.19632108567229,2.95017444387826,20.9719714196729,36.7336858070734,160.281238775125,296.84309051379,3.44246772746631,0.172475921604058,2458966.67812445,2087.24787003272,1.952,1.53275,3.087,5.1778e-08,1.9256e-08,1.6504e-07,6.1188e-06,1.3147e-05,3.7509e-05,3.727e-05,2.0738e-08,1.5586e-09,0.00021724,1.8861e-05,0.46222,0,0,"C"
"134",134,155,8.64,143.346,0.03,22.37,0.903,2458600.5,0.22721173978241,2.72709798383952,2.10746930637424,9.78185118961683,241.828763286768,338.290260609049,121.796720344885,3.3467266613048,0.218853229905463,2458043.97762015,1644.9380260712,1.10239,1.66827,3.298,3.4202e-08,9.3404e-09,9.4032e-08,4.1086e-06,2.431e-05,2.5876e-05,9.5307e-06,1.1463e-08,1.1244e-09,4.2766e-05,8.4509e-06,0.46409,0,0,"C"
"136",136,158,8.12,125.236,0.064,24.476,1.191,2458600.5,0.107018122106918,3.1026885868882,2.77064468083686,6.13081366143122,134.11442587919,333.256265252333,34.4017323591622,3.43473249293954,0.180341962607024,2458409.74166588,1996.20762021128,1.78927,1.67588,3.204,3.7118e-08,1.495e-08,1.2055e-07,3.4197e-06,3.8108e-05,4.2076e-05,1.9585e-05,1.655e-08,1.3034e-09,0.00010819,1.4428e-05,0.47155,0,0,"C"
"137",137,159,9.08,81.24,0.0625,11.033,2.1,2458600.5,0.0669751723851439,2.72773358851287,2.54504316120148,3.82388151374441,8.5999734379034,52.3620009962561,3.82028082177594,2.91042401582427,0.218776740013296,2458583.03799366,1645.51313808827,1.55919,2.29841,3.349,3.8396e-08,9.5351e-09,1.0632e-07,4.7582e-06,5.9287e-05,6.8427e-05,3.4649e-05,1.0174e-08,1.1471e-09,0.00015837,8.6281e-06,0.50376,0,0,"C"
"139",139,161,8.83,97.021,0.051,11.8686,0.493,2458600.5,0.180768582753604,3.01677181701559,2.47143425116266,6.09120432813235,35.488891758066,116.03826214743,128.157121264612,3.56210938286851,0.188100686514792,2457919.17807801,1913.86861297654,1.48985,1.46431,3.214,3.404e-08,1.0892e-08,1.031e-07,4.2845e-06,3.7015e-05,3.9072e-05,1.2194e-05,1.2862e-08,1.0187e-09,6.4335e-05,1.0365e-05,0.43226,0,0,"C"
"140",140,162,9.47,69.389,0.027,16.136,0.444,2458600.5,0.191409918005275,2.36733624896469,1.91420461165945,4.81414034328398,160.061803943578,298.65149151967,190.201255984376,2.82046788626994,0.27059150098308,2459228.00952413,1330.41872598397,0.936616,2.3547,3.517,3.005e-08,5.4815e-09,7.0181e-08,3.5999e-06,3.2898e-05,3.4059e-05,9.301e-06,6.5307e-09,9.3982e-10,3.4683e-05,4.6208e-06,0.45872,0,0,"C"
"145",145,167,7.94,145.366,0.056,47.009,3.219,2458600.5,0.0736351181848624,3.37231178473884,3.1239912079134,4.67018028889743,205.960201326534,175.324684905416,329.081978576598,3.62063236156429,0.159152144017504,2458794.76707453,2261.98649237428,2.12595,1.81827,3.143,4.1667e-08,1.7886e-08,1.4658e-07,4.5914e-06,5.5413e-05,6.3557e-05,3.2213e-05,1.9203e-08,1.2662e-09,0.00020281,1.7996e-05,0.47024,0,0,"C"
"148",148,170,8.31,130.808,0.076,6.66535,1.483,2458600.5,0.132306736379274,3.12891885761052,2.7149418151645,2.54675500663093,100.477447630236,56.1284119839062,189.894507780685,3.54289590005653,0.178078964983436,2459555.7250724,2021.57509188963,1.72612,1.44729,3.199,3.5504e-08,1.144e-08,1.1028e-07,3.6869e-06,9.0298e-05,9.1384e-05,1.4326e-05,1.2954e-08,9.7668e-10,8.1293e-05,1.1087e-05,0.45661,0,0,"C"
"149",149,171,8.79,62.43,0.1382,27.417,1.2,2458600.5,0.114065016879707,2.3800182269634,2.10854140773081,10.0185873058662,331.924266797322,359.6794047225,83.4434933564822,2.65149504619599,0.268431605754361,2458289.64430504,1341.12374356331,1.09701,2.68234,3.51,4.3411e-08,6.6095e-09,1.0353e-07,5.0315e-06,2.5966e-05,3.3278e-05,2.1094e-05,7.3634e-09,1.1182e-09,7.8435e-05,5.5866e-06,0.48545,0,0,"L"
"152",152,174,8.31,94.532,0.094,8.324,1.084,2458600.5,0.233064633596246,3.18276924186138,2.44097829468555,3.21873689257448,21.3373534253132,320.230414879532,209.415495370377,3.9245601890372,0.173578665566545,2459468.02887596,2073.98759994492,1.43308,1.48707,3.154,3.8685e-08,1.135e-08,1.2437e-07,4.3496e-06,8.825e-05,8.8721e-05,1.1833e-05,1.3996e-08,9.2852e-10,7.0836e-05,1.1094e-05,0.456,0,0,"C"
"162",162,184,7.62,160.464,0.062,21.797,2.016,2458600.5,0.129053958157295,2.73750663756772,2.38422057050774,23.2375254364252,153.829182662197,223.757977652288,185.327751918134,3.0907927046277,0.217606218808967,2459403.19878792,1654.36448448212,1.41717,2.41373,3.223,3.3566e-08,7.748e-09,9.1141e-08,4.3819e-06,9.8965e-06,2.0149e-05,1.842e-05,8.7479e-09,9.2384e-10,8.6119e-05,7.0235e-06,0.43443,0,0,"C"
"164",164,186,8.16,147.294,0.044,10.67,1.389,2458600.5,0.241566946961404,2.72689408694759,2.06816660767655,10.5857857580718,21.6905344655987,196.828974045441,76.3474439369721,3.38562156621862,0.218877776693542,2458251.68686287,1644.75354893635,1.06396,1.6038,3.289,3.6311e-08,8.6752e-09,9.8484e-08,3.4082e-06,1.819e-05,1.9381e-05,8.1635e-06,1.0771e-08,1.0445e-09,3.6749e-05,7.8488e-06,0.48886,0,0,"C"
"170",170,193,7.68,161.667,0.057,15.679,1.252,2458600.5,0.238323432087671,2.61539483771265,1.99208496372459,18.5086476190386,159.302911405722,163.077143910767,275.547407171914,3.23870471170071,0.233022673470948,2458962.92221227,1544.91404049951,0.985887,2.16733,3.295,3.0155e-08,6.2718e-09,7.8311e-08,3.5863e-06,1.0654e-05,1.3011e-05,9.2348e-06,7.7665e-09,8.3819e-10,4.0295e-05,5.5571e-06,0.47811,0,0,"C"
"171",171,194,9.01,93.109,0.051,16.521,0.719,2458600.5,0.0436285458921422,2.87785369812586,2.75229712598631,6.96987613951908,6.98683675480944,118.599629934107,316.044963886904,3.00341027026542,0.201883584008558,2458818.22466706,1783.20590932614,1.77542,2.00949,3.283,3.7838e-08,1.1807e-08,1.0936e-07,5.0841e-06,3.4077e-05,6.7199e-05,5.8978e-05,1.2322e-08,1.2424e-09,0.00029248,1.0974e-05,0.45181,0,0,"C"
"176",176,199,8.26,128.301,0.053,37.394,1.946,2458600.5,0.131892590737791,2.74022963995327,2.37881365352335,6.89269240812855,324.312956360776,86.1893956937912,227.007675952333,3.10164562638319,0.217281942141255,2459212.57260363,1656.83349684883,1.40089,2.28207,3.327,3.8902e-08,9.9713e-09,1.0496e-07,4.1141e-06,3.6083e-05,3.9785e-05,1.776e-05,1.1286e-08,1.186e-09,8.3334e-05,9.0434e-06,0.48217,0,0,"C"
"182",182,209,9.33,86.65,0.0436,6.672,2.3,2458600.5,0.123634824005856,2.72206261303648,2.38552088094079,5.25984078359048,32.5810252991961,14.911740619076,12.9947707700528,3.05860434513216,0.219460774696128,2458541.28772943,1640.38425772655,1.39508,2.31908,3.341,4.0039e-08,9.8214e-09,1.1097e-07,4.6522e-06,4.4883e-05,4.8197e-05,1.7787e-05,1.1036e-08,1.1878e-09,8.0998e-05,8.878e-06,0.46888,0,0,"C"
"183",183,210,7.89,141.125,0.062,18.365,2.486,2458600.5,0.160731274080217,3.04084869036043,2.55208920607364,3.88632146538288,263.628153657631,173.37448161993,86.0649467123715,3.52960817464722,0.185871095222893,2458137.46433214,1936.82616206837,1.56738,1.73127,3.217,3.9364e-08,1.1681e-08,1.2157e-07,4.4411e-06,6.925e-05,7.0823e-05,1.4364e-05,1.3558e-08,1.071e-09,7.6882e-05,1.116e-05,0.51187,0,0,"C"
"191",191,232,8.21,99.672,0.094,19.7,1.146,2458600.5,0.09895644974683,2.66001042815929,2.3967852398991,7.69088085354975,221.97323944556,126.027601559486,4.89512481523562,2.92323561641948,0.227184692194314,2458578.95310453,1584.61380704334,1.39984,2.46504,3.366,3.1998e-08,7.1407e-09,8.5785e-08,3.4868e-06,2.957e-05,3.5715e-05,2.0852e-05,7.8473e-09,9.148e-10,9.1759e-05,6.3807e-06,0.51235,0,0,"K"
"195",195,237,8.18,155.659,0.039,8.8749,0.751,2458600.5,0.0895805221241019,2.90701089005149,2.64659933670023,12.4111444750371,183.881791303862,210.742282334997,8.93267069747758,3.16742244340276,0.198853887587669,2458555.57922522,1810.3744632163,1.65788,2.27784,3.244,3.5202e-08,1.0994e-08,1.0575e-07,3.6194e-06,1.9736e-05,2.9989e-05,2.3123e-05,1.1979e-08,1.1281e-09,0.00011624,1.027e-05,0.49866,0,0,"C"
"196",196,239,9,87.928,0.057,10.64,1.616,2458600.5,0.207570494725466,2.66376929315657,2.11084938314156,2.10552333123291,115.069126870787,300.99874862716,286.021304476956,3.21668920317159,0.226703988818896,2458926.8228667,1587.97382382005,1.12324,2.14163,3.352,4.0604e-08,7.74e-09,1.0858e-07,3.9204e-06,0.00010579,0.00010613,9.9776e-06,9.3466e-09,9.8808e-10,4.4894e-05,6.9211e-06,0.51812,0,0,"C"
