,H,diameter,albedo,rot_per,diameter_sigma,epoch,e,a,q,i,om,w,ma,ad,n,tp,per,moid,moid_jup,t_jup,sigma_e,sigma_a,sigma_q,sigma_i,sigma_om,sigma_w,sigma_ma,sigma_ad,sigma_n,sigma_tp,sigma_per,rms,neo_flag,pha_flag,class_var
16,7.76,84.899,0.193,12.27048,2.027,2458600.5,0.1330316129616815,2.470354068488832,2.141718882171311,5.591204655582279,125.5529504163442,136.2082543777479,303.3643694423456,2.798989254806354,0.2538430446303848,2458823.612792553,1418.199188889292,1.12981,2.27528,3.466,2.8055e-08,3.6554e-09,6.9058e-08,2.9865e-06,2.6678e-05,2.8154e-05,9.8897e-06,4.1417e-09,5.6342e-10,3.9149e-05,3.1478e-06,0.51527,0,0,S
17,6.51,139.594,0.181,11.57,2.452,2458600.5,0.2176743745990289,2.296653511018973,1.796730894337254,10.12873159571224,150.3838568328796,227.9508521986118,267.2543794968664,2.796576127700692,0.2831788766968288,2458928.016026566,1271.281262922078,0.813258,2.69306,3.542,3.1806e-08,2.6604e-09,7.2763e-08,3.8354e-06,2.0215e-05,2.1958e-05,9.8739e-06,3.2395e-09,4.9205e-10,3.5174e-05,2.209e-06,0.41806,0,0,S
19,6.5,135.68,0.241,8.098,3.674,2458600.5,0.1420666830983617,2.409781788983322,2.067432083231626,0.7087510069467414,206.1088074291358,256.7733123775827,117.6951184917533,2.752131494735019,0.2634738374065692,2458153.794855952,1366.359573092945,1.08461,2.37907,3.506,2.2196e-08,3.5847e-09,5.3565e-08,2.4466e-06,0.00019206,0.00019225,8.928e-06,4.094e-09,5.8791e-10,3.3629e-05,3.0489e-06,0.52248,0,0,S
20,7.35,95.76,0.2212,8.1655,4.1,2458600.5,0.1633561017492255,2.434958097689246,2.037192834928021,3.064054163192655,80.86580310843537,249.916931000493,344.2934821177674,2.83272336045047,0.259398126993848,2458661.0498507805,1387.828062492286,1.02791,2.50926,3.485,3.0313e-08,4.557e-09,7.4355e-08,3.8096e-06,6.4371e-05,6.5738e-05,1.5922e-05,5.3014e-09,7.282e-10,6.1485e-05,3.896e-06,0.37057,0,0,X
21,6.45,167.536,0.166,4.1483,3.053,2458600.5,0.09767687508287444,2.914849074993066,2.630135726009536,13.71531285364466,66.05276989131626,356.082080322098,196.5714348128383,3.199562423976596,0.1980523339507052,2459425.678688517,1817.7013762918,1.64321,2.12719,3.232,3.8206e-08,7.2561e-09,1.0898e-07,4.0906e-06,1.2151e-05,1.9569e-05,1.6844e-05,7.9648e-09,7.3953e-10,8.6301e-05,6.7873e-06,0.45122,0,0,X
22,6.95,107.53,0.2536,12.312,2.2,2458600.5,0.2349839163593447,2.625683428832592,2.008690053605677,10.11425822183378,66.84680963489463,60.63682457806228,335.8201843787205,3.242676804059507,0.2316543869206912,2458704.8788375547,1554.039208086523,1.04633,1.92903,3.341,3.2701e-08,4.9897e-09,8.7118e-08,3.8713e-06,2.0452e-05,2.1896e-05,8.3046e-06,6.1622e-09,6.6034e-10,3.5959e-05,4.4298e-06,0.50248,0,0,S
24,7.83,61.054,0.35,9.9341,2.463,2458600.5,0.254613898045645,2.400160566310976,1.789046328587096,21.60484110013702,214.1306085485684,90.26321572157396,172.8714143387332,3.011274804034857,0.2650596557723002,2457948.301860547,1358.184816738985,0.923495,2.52686,3.389,2.9464e-08,3.7443e-09,7.0096e-08,3.33e-06,8.4586e-06,1.1181e-05,7.1733e-06,4.6977e-09,6.2025e-10,2.6244e-05,3.1782e-06,0.46346,0,0,S
25,7.4,94.8,0.1966,13.11,1.7,2458600.5,0.09014486420558818,2.654330887156547,2.415056589777122,3.563413748183849,45.7779967812011,193.4497837380755,105.7236063695161,2.893605184535973,0.2279142516246206,2458136.6255138023,1579.541417150724,1.40287,2.10282,3.38,3.4759e-08,8.2327e-09,9.1971e-08,3.4829e-06,7.5853e-05,8.04e-05,2.806e-05,8.9748e-09,1.0604e-09,0.00012261,7.3487e-06,0.52805,0,0,S
27,7.09,120.9,0.1763,15.706,3.4,2458600.5,0.1518626029328426,2.775765932472504,2.354230892834921,9.429549427013106,144.2961654750961,344.1009095576795,273.4480678367942,3.197300972110088,0.2131227502920622,2459006.6130594676,1689.167390654719,1.37086,1.85813,3.299,3.2384e-08,5.799e-09,9.0375e-08,3.7606e-06,1.6416e-05,1.8954e-05,1.081e-05,6.6796e-09,6.6787e-10,5.1265e-05,5.2934e-06,0.54288,0,0,S
28,5.85,189.559,0.216,5.3921,1.129,2458600.5,0.07269553868568869,2.554113564937332,2.368440903469788,6.082522456884492,356.3417299777814,63.36327805410182,284.2353132469576,2.739786226404876,0.2414592061472713,2458914.27841401,1490.935076546338,1.3871,2.47768,3.427,3.1187e-08,4.4144e-09,7.9647e-08,3.1187e-06,3.1822e-05,3.9903e-05,2.3784e-05,4.7354e-09,6.26e-10,9.8615e-05,3.8653e-06,0.52878,0,0,S
29,7.57,92.787,0.192,13.686,2.04,2458600.5,0.1275809833060483,2.365572134414319,2.063770115424353,2.095745378560868,307.4685508524195,87.42625293531329,29.09795220504889,2.667374153404285,0.2708942459611132,2458493.085565626,1328.931881601051,1.0709,2.73561,3.536,2.8832e-08,3.6331e-09,6.7667e-08,3.3851e-06,8.7781e-05,8.9027e-05,1.5072e-05,4.0966e-09,6.2407e-10,5.5552e-05,3.0615e-06,0.46376,0,0,S
30,6.74,267.08,0.053,5.53,2.611,2458600.5,0.2208570249741424,3.155402303606389,2.458509538235326,26.30334453020525,31.11857287198513,61.47039172544061,87.1671452430197,3.852295068977451,0.1758417375533951,2458104.7863744646,2047.295511344025,1.56992,1.95722,3.011,3.157e-08,6.7571e-09,9.9521e-08,4.4181e-06,8.1041e-06,1.3069e-05,9.7316e-06,8.2495e-09,5.6483e-10,5.4521e-05,6.5763e-06,0.5147,0,0,C
31,7.56,80.76,0.2564,9.448,1.6,2458600.5,0.08090136585501478,2.588507762523976,2.379093949009478,5.52395114567172,220.4415433252172,339.5358021476744,31.92100747154975,2.797921576038474,0.2366627280255597,2458465.620258953,1521.152075797587,1.37704,2.16968,3.41,4.7501e-08,8.8021e-09,1.2438e-07,5.011e-06,5.1751e-05,6.0573e-05,3.3449e-05,9.5142e-09,1.2071e-09,0.00014114,7.7589e-06,0.576,0,0,S
32,8.55,52.929,0.24,18.608,2.304,2458600.5,0.3313463077354283,2.873455531033817,1.921346650383817,1.85284483400156,8.466331743752677,338.3718756928444,342.0155788867866,3.825564411683816,0.2023472717559983,2458689.378989853,1779.119613898764,0.913808,1.60077,3.212,4.3212e-08,7.9598e-09,1.2316e-07,4.7797e-06,0.00013494,0.00013504,7.8956e-06,1.0597e-08,8.4079e-10,3.9181e-05,7.3926e-06,0.50179,0,0,S
33,8.51,132.992,0.052,12.15,1.033,2458600.5,0.1059480469491282,2.687383411326365,2.402660387492852,5.496016832467634,184.3612972478401,330.6761508668944,126.6869657584461,2.972106435159879,0.2237224804907294,2458034.2316237483,1609.136458751706,1.41435,2.02034,3.359,2.2977e-08,5.8399e-09,6.1518e-08,2.5556e-06,3.6166e-05,3.9926e-05,1.6744e-05,6.4586e-09,7.2925e-10,7.4703e-05,5.2452e-06,0.50264,0,0,C
34,8.5,103.055,0.066,31.9,1.201,2458600.5,0.2255881648204197,2.994071835757417,2.318644664988396,7.932712232712857,353.7389414640166,213.3967282344543,215.2502420359021,3.669499006526438,0.1902439041503558,2459361.364105531,1892.307675285515,1.31998,1.34373,3.202,3.2032e-08,7.2564e-09,9.5956e-08,4.056e-06,2.615e-05,2.7436e-05,9.2964e-06,8.8934e-09,6.9161e-10,5.0188e-05,6.8793e-06,0.48,0,0,C
36,7.29,108.35,0.1826,7.3335,1.9,2458600.5,0.1756051535037853,2.642283307139379,2.178284741388679,3.070809532738653,7.269082946030829,62.84351130873574,341.5425384814108,3.106281872890079,0.2294748011941458,2458680.9335004212,1568.7997031771,1.19442,2.19184,3.37,3.4435e-08,4.982e-09,9.157e-08,4.0851e-06,7.5318e-05,7.6252e-05,1.2522e-05,5.8569e-09,6.4901e-10,5.4636e-05,4.437e-06,0.49653,0,0,S
37,8.32,92.255,0.055,12.838,0.49,2458600.5,0.1549825297322227,2.739454929633416,2.314887274551421,6.970975213382268,295.7200240934729,169.3124247893297,4.928716916433141,3.164022584715411,0.2173741187607904,2458577.8261097292,1656.130923277772,1.33232,1.97467,3.322,3.995e-08,7.3336e-09,1.0961e-07,4.3111e-06,3.3216e-05,3.551e-05,1.4109e-05,8.4701e-09,8.7287e-10,6.4865e-05,6.6502e-06,0.47099,0,0,C
38,6.0,179.484,0.269,5.138,1.685,2458600.5,0.1114755763997384,2.769319013705793,2.460607580418185,10.36898115247046,156.9531003287243,209.1324646027803,301.5493084108223,3.078030446993401,0.2138674014467572,2458873.803416948,1683.28598732062,1.46215,2.37343,3.305,3.6027e-08,5.1202e-09,9.9147e-08,3.9284e-06,2.1953e-05,2.8059e-05,1.8886e-05,5.6909e-09,5.9312e-10,8.8558e-05,4.6683e-06,0.3993,0,0,S
39,7.0,111.251,0.22,8.91,0.391,2458600.5,0.0470213280628561,2.26724651934877,2.160637576963103,4.257400612736195,94.18885502985238,269.7316206155986,107.5249432813363,2.373855461734438,0.2887060987034502,2458228.0626189946,1246.942830846745,1.16159,2.79762,3.61,3.0362e-08,2.7357e-09,6.9049e-08,3.2256e-06,4.5087e-05,5.7164e-05,3.5594e-05,2.8643e-09,5.2253e-10,0.00012318,2.2569e-06,0.42036,0,0,S
40,7.12,205.495,0.059,5.988,1.881,2458600.5,0.2754175325025016,2.760438707992415,2.00016549041275,15.79210053717995,178.0867370371358,45.89572754287956,134.3491989737481,3.52071192557208,0.2149002451666994,2457975.329940889,1675.195855271109,1.02633,1.56613,3.233,1.9625e-08,5.8492e-09,5.478e-08,2.0372e-06,9.1501e-06,1.0455e-05,7.0486e-06,7.4601e-09,6.8304e-10,3.1068e-05,5.3244e-06,0.46648,0,0,C
41,7.53,110.997,0.139,13.59,1.378,2458600.5,0.2228231537164217,2.441703519439272,1.897635440797327,8.514620995668592,84.19733886359604,237.3054322303076,203.4142800216191,2.985771598081217,0.2583239543492746,2459206.6602779846,1393.598982745716,0.899544,2.35747,3.452,3.0355e-08,3.8911e-09,7.3847e-08,3.7538e-06,2.2205e-05,2.3623e-05,9.7838e-06,4.7582e-09,6.1751e-10,3.8657e-05,3.3313e-06,0.56217,0,0,L
42,7.93,71.34,0.234,5.76218,1.254,2458600.5,0.1683218590475488,2.203475093733064,1.832582069590942,3.471398985268536,264.8102088522743,16.27151735854157,137.946567266204,2.574368117875185,0.3013296415362684,2458142.7071105815,1194.704902460351,0.81586,2.55396,3.642,3.6704e-08,4.0899e-09,8.1157e-08,4.2779e-06,6.7921e-05,6.9083e-05,1.3914e-05,4.7783e-09,8.3894e-10,4.5677e-05,3.3262e-06,0.54119,0,0,S
43,7.03,70.64,0.482,6.422,4.0,2458600.5,0.1479228969520967,2.423451098763994,2.064967191613082,3.70655325469274,131.5475553197488,343.3326793195108,82.7087006986245,2.781935005914906,0.2612478245468913,2458283.9090356845,1378.001905372359,1.08194,2.30904,3.494,3.4692e-08,3.8831e-09,8.3963e-08,3.8719e-06,5.6191e-05,5.7474e-05,1.2682e-05,4.4575e-09,6.279e-10,4.8358e-05,3.312e-06,0.5456,0,0,X
44,7.46,202.327,0.045,5.699,2.168,2458600.5,0.08443837415752818,2.720882627132943,2.491135721824373,6.603526557194116,147.6084190186866,88.16802085724791,38.36482257664071,2.950629532441512,0.219603553013133,2458425.7996272133,1639.317738991549,1.4906,2.06419,3.344,3.4073e-08,6.3505e-09,9.4516e-08,3.4351e-06,3.2498e-05,3.8528e-05,2.0782e-05,6.8867e-09,7.6882e-10,9.4547e-05,5.7392e-06,0.48129,0,0,C
45,8.36,112.414,0.046,21.04,0.737,2458600.5,0.1720022202594139,2.525788447819822,2.091347226889234,2.349674618747845,181.0874890750122,177.4171717153729,69.90042565757008,2.960229668750411,0.2455322903657503,2458315.810660144,1466.202263921116,1.08671,2.48559,3.432,3.1351e-08,4.478e-09,7.9026e-08,3.2783e-06,9.1359e-05,9.2129e-05,1.3314e-05,5.2482e-09,6.5296e-10,5.3985e-05,3.8992e-06,0.51763,0,0,X
46,7.84,168.174,0.082,13.178,1.222,2458600.5,0.1298072633057685,2.881429420336441,2.50739895287384,4.975208194905542,3.08137869887515,314.6873037280166,52.27883001380334,3.255459887799041,0.2015079081674523,2458341.061894125,1786.53038123368,1.49661,2.04817,3.276,3.1739e-08,8.6058e-09,9.2933e-08,4.1446e-06,4.1059e-05,4.4326e-05,1.7573e-05,9.7229e-09,9.0275e-10,8.6874e-05,8.0036e-06,0.48926,0,0,B
47,6.9,216.473,0.065,11.89,4.757,2458600.5,0.07244388040008176,3.110088096301463,2.884781246219282,6.547416488631697,183.5539771494624,253.0539222319485,69.37478764636703,3.335394946383645,0.1796987422373217,2458214.438379409,2003.35292010314,1.90839,1.88458,3.205,3.0349e-08,8.5876e-09,9.5001e-08,3.1238e-06,3.0257e-05,3.8604e-05,2.3888e-05,9.2097e-09,7.4428e-10,0.00013288,8.2975e-06,0.53516,0,0,C
48,7.8,166.252,0.048,20.705,2.166,2458600.5,0.2220670299184078,3.105045616529236,2.415517358705417,3.195214970048808,285.0858222402223,112.2986721667086,240.6294382114604,3.794573874353055,0.1801366561190813,2459263.166690724,1998.482750573643,1.42463,1.65899,3.18,3.7623e-08,8.8201e-09,1.1374e-07,3.8655e-06,7.4924e-05,7.5503e-05,9.5657e-06,1.0779e-08,7.6753e-10,5.433e-05,8.5152e-06,0.55155,0,0,C
49,9.24,84.074,0.05,14.315,0.242,2458600.5,0.2859855278797714,2.648793848682129,1.891277141622079,2.838219805076201,173.528727343488,200.0805747098362,158.4593641428413,3.406310555742179,0.2286292728728612,2457907.4156799046,1574.601517453948,0.891422,2.05358,3.33,2.9601e-08,4.5633e-09,7.8155e-08,3.586e-06,7.4024e-05,7.4281e-05,7.5106e-06,5.8683e-09,5.9081e-10,3.175e-05,4.069e-06,0.51391,0,0,C
50,7.35,138.159,0.105,7.783,0.966,2458600.5,0.06755935989880366,2.365835370281398,2.206001047039237,9.977177850770598,175.9784923277597,2.580551868740008,96.04491824335447,2.525669693523558,0.2708490354411711,2458245.893168608,1329.153708868174,1.21015,2.43368,3.525,1.9031e-08,2.7374e-09,4.5501e-08,2.1056e-06,1.6382e-05,2.8004e-05,2.2447e-05,2.9224e-09,4.7009e-10,8.2911e-05,2.3069e-06,0.46237,0,0,C
51,6.31,303.918,0.057,5.6304,3.501,2458600.5,0.1103692613008455,3.093091390802421,2.751709178863553,7.478751865818961,128.6061591552962,343.5585218585106,237.2039020271912,3.434473602741289,0.1811819567209092,2459278.250147946,1986.952820884588,1.76943,1.66197,3.202,2.8343e-08,7.1361e-09,8.7102e-08,2.8663e-06,2.2483e-05,2.5886e-05,1.2841e-05,7.9237e-09,6.2701e-10,7.1683e-05,6.8762e-06,0.51784,0,0,C
53,7.66,154.137,0.041,7.024,0.635,2458600.5,0.1973389546761281,2.710377898431714,2.175514757177919,11.79829751501346,313.2523822104212,344.9589214229637,18.36215747697186,3.24524103968551,0.2208814797112706,2458517.368732041,1629.833340806032,1.16147,2.01258,3.305,3.9258e-08,8.3311e-09,1.0837e-07,4.4155e-06,1.8255e-05,2.0605e-05,1.1685e-05,9.9752e-09,1.0184e-09,5.2709e-05,7.5146e-06,0.45713,0,0,C
54,7.7,84.794,0.204,4.804,2.501,2458600.5,0.142968707636,2.759834769217648,2.365264758973702,7.180069150468417,10.38136060555121,5.370130264356717,1.044321713981771,3.154404779461593,0.2149707894392952,2458595.642029684,1674.646127220271,1.36566,2.30898,3.316,3.3605e-08,6.5672e-09,9.2933e-08,3.9408e-06,3.1014e-05,3.3991e-05,1.5264e-05,7.506e-09,7.673e-10,7.0998e-05,5.9773e-06,0.48585,0,0,X
55,8.31,121.333,0.057,18.147,0.947,2458600.5,0.2380827725389232,2.595744871275495,1.977742735518535,8.080991156628064,192.9849367499984,105.0371235287186,246.5129769998197,3.213747007032455,0.2356736711583452,2459082.0430694586,1527.535928093224,0.980357,2.0909,3.363,3.407e-08,6.1261e-09,8.7989e-08,4.2536e-06,2.8276e-05,2.9678e-05,9.7213e-06,7.5846e-09,8.343e-10,4.1688e-05,5.4076e-06,0.49525,0,0,X
56,7.03,112.59,0.2149,12.463,2.8,2458600.5,0.1134668161040052,3.151209152300577,2.793651482911229,15.21509080813775,199.2006498928292,210.768776843355,143.0886659979709,3.508766821689924,0.1761928295645073,2457788.3859863277,2043.215952032814,1.81222,1.95492,3.143,4.8074e-08,1.0713e-08,1.5063e-07,5.2372e-06,2.0428e-05,3.0241e-05,2.2736e-05,1.1928e-08,8.9846e-10,0.00012776,1.0419e-05,0.4725,0,0,S
57,8.86,106.517,0.044,9.895,0.741,2458600.5,0.04278237985988449,2.700075759021949,2.584560092249006,5.065410274257458,161.107535908243,30.80176842418669,298.4645033577499,2.815591425794892,0.2221468447680342,2458877.50369414,1620.549688094432,1.58633,2.14199,3.361,3.8733e-08,8.3114e-09,1.0367e-07,4.1214e-06,4.7622e-05,6.7653e-05,4.8615e-05,8.667e-09,1.0257e-09,0.00021904,7.4826e-06,0.46122,0,0,C
58,7.93,165.119,0.044,13.671,4.506,2458600.5,0.1192914488851269,2.7118361575414,2.388337293169212,8.641685375603874,170.0264390363303,211.0823835571149,159.157664758825,3.035335021913589,0.2207033389024456,2457879.36154532,1631.148861590743,1.39378,2.43193,3.336,2.6232e-08,6.8775e-09,6.9803e-08,2.6747e-06,2.56e-05,3.0352e-05,1.7682e-05,7.6979e-09,8.3958e-10,7.9174e-05,6.2051e-06,0.50899,0,0,B
59,8.21,43.218,0.373,25.208,0.571,2458600.5,0.1845543525822868,2.39229953575061,1.950790243747251,3.600353903865171,191.5523565003289,271.2147514138044,208.3858846733188,2.833808827753969,0.2663671965617431,2459169.69214259,1351.51777188357,0.971724,2.32639,3.505,3.658e-08,5.4589e-09,8.8002e-08,4.071e-06,6.6372e-05,6.7268e-05,1.2186e-05,6.4664e-09,9.1173e-10,4.6508e-05,4.626e-06,0.47455,0,0,S
60,7.68,85.937,0.203,11.45,2.151,2458600.5,0.1659587226997531,2.985558309020049,2.490078865509447,18.19649580276655,333.655023575375,12.42664408723854,272.2201347488624,3.481037752530652,0.1910582245298255,2459059.9403903163,1884.242360599355,1.4837,1.93051,3.162,5.4216e-08,1.1236e-08,1.6029e-07,5.9263e-06,1.6118e-05,2.3223e-05,1.9787e-05,1.31e-08,1.0785e-09,0.00010473,1.0637e-05,0.48493,0,0,S
61,8.76,106.921,0.048,9.2213,0.658,2458600.5,0.1677318393767544,3.135443049035053,2.609529419159345,2.233521984321449,125.1514669969498,276.391858013113,239.8747247853809,3.661356678910762,0.1775234374300117,2459277.1727647553,2027.901246233638,1.61861,1.74918,3.189,3.6569e-08,1.484e-08,1.1017e-07,4.0484e-06,0.00010716,0.00010785,1.3468e-05,1.7329e-08,1.2603e-09,7.7172e-05,1.4397e-05,0.52279,0,0,C
62,7.55,116.044,0.125,9.298,1.747,2458600.5,0.1269054758104786,2.395430904482211,2.091437605777771,5.775580137916295,337.7333054779401,295.9440668665013,139.5563555037081,2.699424203186651,0.2658450642416958,2458075.5462796753,1354.172216914669,1.08249,2.42619,3.511,3.3776e-08,4.1985e-09,8.1741e-08,3.3462e-06,3.7257e-05,3.975e-05,1.5601e-05,4.7313e-09,6.9892e-10,5.8247e-05,3.5602e-06,0.51752,0,0,S
63,7.67,58.292,0.483,8.752,1.082,2458600.5,0.1255294154799317,2.681124849187929,2.344564814040649,1.309693547617386,309.1174727723246,178.806069797248,38.70044014172145,3.01768488433521,0.2245062920918529,2458428.1197972842,1603.518532356823,1.36002,2.03278,3.365,3.4576e-08,7.9971e-09,9.3327e-08,3.5349e-06,0.00020826,0.00020917,2.1243e-05,9.001e-09,1.0045e-09,9.4353e-05,7.1743e-06,0.49885,0,0,X
64,6.62,237.26,0.0706,6.0814,4.2,2458600.5,0.1119429385186124,3.425952864143512,3.042441633305031,3.563531013346628,155.6163416172274,102.6307242585339,261.0069811866545,3.809464094981993,0.1554289806314189,2459237.401936892,2316.170372716377,2.02972,1.25839,3.128,3.5589e-08,1.1632e-08,1.2158e-07,3.9294e-06,5.982e-05,6.2072e-05,1.8113e-05,1.2934e-08,7.9157e-10,0.00011823,1.1796e-05,0.48921,0,0,X
65,9.36,71.82,0.0618,9.73509,5.3,2458600.5,0.1729405457241234,2.646063569775264,2.188451891997608,3.045598416204451,7.503775556362473,43.98521433944778,19.07410757450605,3.10367524755292,0.2289832228021882,2458517.200851088,1572.16758325999,1.1999,2.27428,3.369,3.3497e-08,6.5738e-09,8.8529e-08,4.0195e-06,6.4968e-05,6.5855e-05,1.0867e-05,7.7107e-09,8.5332e-10,4.7378e-05,5.8588e-06,0.50587,0,0,C
